Filière de formation détaillée,Effectif total des candidats pour la formation,En Phase Principale,Dont Bac Tech,En Phase Complémentaire,Dont Bac Tech,Dont Bac Pro,Dont Bac Pro,Dont Bac G,Dont Bac G,Dont Néo Bac,En Phase Principale,En Phase Complémentaire,Nb Max Admis,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F,Dont F
Carrières juridiques,25118,24554,7437,561,99,823,37,12489,107,1165,1300,57,1396,684,16,465,19073,1117
Carrières sociales Option animation sociale et socio-culturelle,11139,10715,3428,421,147,1100,39,3352,38,513,800,33,844,256,54,203,8356,628
Carrières sociales Option assistance sociale,8046,7810,2742,236,118,752,3,2585,15,200,250,6,259,115,9,76,7413,242
Carrières sociales Option éducation spécialisée,10583,9904,3298,679,196,796,96,3410,66,140,230,7,243,82,7,51,9111,212
Carrières sociales Option gestion urbaine,3019,2717,597,301,35,115,40,1210,50,212,289,35,376,144,4,64,1867,213
Carrières sociales Option services à la personne,2817,2531,957,284,55,368,70,698,26,107,124,39,203,47,15,45,2525,148
Chargé de projet en aménagement durable du territoire,176,127,49,49,15,2,0,53,11,28,26,10,48,11,1,16,48,15
Chimie,64721,60276,5847,4436,527,287,159,41672,819,3711,4474,988,7773,3072,39,600,37669,3052
Cinéma,7231,7231,545,0,0,165,0,4736,0,133,153,0,157,132,0,1,3685,99
Cinéma d'animation,2675,2675,629,0,0,239,0,469,0,19,68,0,68,0,1,18,1610,53
Classe d'approfondissement en arts plastiques,78,75,9,3,0,11,0,38,0,21,24,3,30,15,4,2,47,14
Classe de mise à niveau Cinéma-Audiovisuel,978,978,98,0,0,99,0,568,0,39,41,0,39,33,2,4,381,19
Classe de mise à niveau pour l'entrée en BTS et les poursuites d'études scientifiques,176,173,64,3,0,24,0,50,0,27,31,2,35,7,0,20,133,30
Classe préparatoire aux écoles des carrières sociales,5260,5071,1754,188,47,946,64,1679,23,292,323,14,491,106,57,129,4625,319
Classe préparatoire aux écoles paramédicales,7712,7505,2822,200,47,1119,41,2794,25,413,427,18,571,152,67,194,6638,415
Classe préparatoire en ergothérapie,78,68,20,10,1,7,1,38,1,3,3,0,120,1,0,2,66,2
Classe Préparatoire Universitaire - Physique - Chimie,311,292,8,19,0,2,2,226,6,16,20,0,30,16,0,0,134,4
Classe Préparatoire Universitaire Mathématiques - Physique - Informatique,444,417,16,27,3,3,2,328,3,19,21,1,32,19,0,0,116,12
Commerce,21830,21219,3329,596,105,625,49,13797,180,970,1052,137,2047,775,20,175,9246,549
Commerce international à référentiel européen,122768,114720,33923,8020,2360,14100,779,40162,1123,3968,4698,406,5897,1684,656,1628,65969,3115
Communication,81787,78529,23406,3246,579,10445,494,22062,403,1926,2435,243,3520,816,346,764,55211,1996
Comptabilité et gestion,133097,119468,36915,13514,3725,26653,2289,25860,1318,7719,8381,1121,11353,1632,2600,3487,64346,4792
Concepteur en art et industrie céramique,33,27,9,6,3,0,0,0,0,3,6,2,12,0,0,3,24,7
Conception de processus de découpe et d'emboutissage,187,172,58,13,4,67,3,15,1,24,24,2,28,1,13,10,13,1
Conception de produits industriels,15905,15146,8169,751,213,3006,154,1692,71,1225,1334,83,1564,111,373,741,1143,90
Conception des processus de réalisation de produits (1ère année commune),7824,7271,3555,539,202,2683,117,451,37,1075,1046,133,1428,37,560,478,445,45
Conception et industrialisation en construction navale,505,505,200,0,0,91,0,111,0,16,22,0,22,5,4,7,43,5
Conception et industrialisation en microtechniques,4374,4147,1768,220,98,1280,26,512,15,483,494,34,645,45,198,240,280,34
