Filière de formation très agrégée,Filière de formation,Filière de formation détaillée,Effectif total des candidats pour la formation,Dont F,En Phase Principale,Dont Bac G,Dont Bac Tech,Dont Bac Pro,En Phase Complémentaire,Dont Bac G,Dont Bac Tech,Dont Bac Pro,Nb Max Admis,En Phase Principale,En Phase Complémentaire,Dont Néo Bac,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F
Autre formation,Formations d'ingénieurs,"bac STI2D,STL",1455,141,1451,0,1361,0,4,0,1,0,87,85,1,85,0,0,85,12
Autre formation,Formations d'ingénieurs,bac STL,273,105,271,1,260,0,2,0,1,0,33,14,0,13,0,0,13,5
Autre formation,DEJEPS,Badminton,98,13,78,31,20,16,20,1,9,4,7,0,1,0,0,0,0,0
BTS,BTS - Services,Banque conseiller de clientèle,45407,24729,42505,8851,13933,9236,2885,255,898,445,1665,1324,147,1129,308,285,536,876
Autre formation,BPJEPS,Basket-ball,351,42,335,125,116,62,16,2,2,3,13,8,4,8,0,2,6,3
BTS,BTS - Production,Bâtiment,19497,2300,19091,2640,7436,4754,401,22,108,112,1247,1089,33,970,116,399,455,158
Autre formation,DEUST,Bâtiment et Construction,186,29,167,52,72,13,19,3,5,1,35,21,2,14,4,0,10,6
CPGE,Classe préparatoire scientifique,BCPST,65849,46009,65361,58430,271,14,488,322,8,7,3542,3394,30,3361,3359,1,1,2470
Autre formation,Ecole d'architecture,Bicursus Architecure Ingénieur EIVP,367,212,367,275,0,0,0,0,0,0,8,9,0,7,7,0,0,6
Autre formation,Ecole d'architecture,Bicursus Architecure Ingénieur ESTP,482,285,482,392,0,0,0,0,0,0,37,39,0,31,31,0,0,23
BTS,BTS - Production,Bioanalyses et contrôles,18696,12915,17529,5270,7074,826,1159,177,368,55,1133,909,117,822,264,47,511,713
Autre formation,DEUST,Bio-industries et biotechnologies,301,176,301,116,94,6,0,0,0,0,20,21,0,17,5,0,12,14
BTS,BTS - Production,Biotechnologie,12657,7750,12525,3485,5270,451,132,31,35,4,586,566,6,481,138,12,331,380
Autre formation,DEJEPS,BMX,10,1,10,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0
Autre formation,Cadre Technique,Cadre technique génie de l'environnement marin,49,22,49,19,13,0,0,0,0,0,12,13,0,10,7,0,3,5
Autre formation,Cadre Technique,Cadre technique production et valorisation des ressources marines,34,17,34,20,6,0,0,0,0,0,12,11,0,10,8,0,2,7
